Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41710,NOKKUNDI,Balochistan,NOKKUNDI,46,"23 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,44,"23 May, 2025"
43541,Pulwama,Kashmir,Pulwama,33,"23 May, 2025"
41660,QUETTA,Balochistan,QUETTA,40,"23 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,30,"23 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,40,"23 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,44,"23 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,41,"23 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,42,"23 May, 2025"
41697,SIBBI,Balochistan,SIBBI,50,"23 May, 2025"
41517,SKARDU,GB,SKARDU,31,"23 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,46,"23 May, 2025"
43543,Shopian,Kashmir,Shopian,33,"23 May, 2025"
43536,Srinagar,Kashmir,Srinagar,34,"23 May, 2025"
41783,THATTA,Sindh,THATTA,38,"23 May, 2025"
41738,TURBAT,Balochistan,TURBAT,43,"23 May, 2025"
41520,ASTORE,GB,ASTORE,29,"22 May, 2025"
41535,Abbotabad,KPK,Abbotabad,36,"22 May, 2025"
43542,Anantnag,Kashmir,Anantnag,32,"22 May, 2025"
41567,Attock,Punjab,Attock,45,"22 May, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,48,"22 May, 2025"
41562,BANNU,KPK,BANNU,45,"22 May, 2025"
43544,Baramulla,Kashmir,Baramulla,31,"22 May, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,43,"22 May, 2025"
41506,CHITRAL,KPK,CHITRAL,36,"22 May, 2025"
41652,D G KHAN,Punjab,D G KHAN,49,"22 May, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,46,"22 May, 2025"
41743,DADU,Sindh,DADU,49,"22 May, 2025"
41508,DIR,KPK,DIR,37,"22 May, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,44,"22 May, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,41,"22 May, 2025"
41516,GILGIT,GB,GILGIT,38,"22 May, 2025"
41757,GWADAR,Balochistan,GWADAR,34,"22 May, 2025"
41505,HUNZA,GB,HUNZA,32,"22 May, 2025"
41764,HYDERABAD,Sindh,HYDERABAD,42,"22 May, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,42,"22 May, 2025"
41598,JHELUM,Punjab,JHELUM,44,"22 May, 2025"
41756,JIWANI,Balochistan,JIWANI,34,"22 May, 2025"
43534,Jammu,Kashmir,Jammu,41,"22 May, 2025"
41696,KALAT,Balochistan,KALAT,33,"22 May, 2025"
41780,KARACHI,Sindh,KARACHI,36,"22 May, 2025"
41640,LAHORE,Punjab,LAHORE,44,"22 May, 2025"
43535,Leh,Kashmir,Leh,21,"22 May, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,29,"22 May, 2025"
41786,MITHI,Sindh,MITHI,44,"22 May, 2025"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,46,"22 May, 2025"
41675,MULTAN,Punjab,MULTAN,46,"22 May, 2025"
41573,MURREE,Punjab,MURREE,29,"22 May, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,42,"22 May, 2025"
41749,NAWABSHAH,Sindh,NAWABSHAH,46,"22 May, 2025"
41710,NOKKUNDI,Balochistan,NOKKUNDI,45,"22 May, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,46,"22 May, 2025"
43541,Pulwama,Kashmir,Pulwama,31,"22 May, 2025"
41660,QUETTA,Balochistan,QUETTA,39,"22 May, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,31,"22 May, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,41,"22 May, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,45,"22 May, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,40,"22 May, 2025"
41593,SARGODHA,Punjab,SARGODHA,45,"22 May, 2025"
41697,SIBBI,Balochistan,SIBBI,50,"22 May, 2025"
41517,SKARDU,GB,SKARDU,29,"22 May, 2025"
41724,SUKKUR,Sindh,SUKKUR,46,"22 May, 2025"
43543,Shopian,Kashmir,Shopian,32,"22 May, 2025"
43536,Srinagar,Kashmir,Srinagar,32,"22 May, 2025"
41783,THATTA,Sindh,THATTA,37,"22 May, 2025"
41738,TURBAT,Balochistan,TURBAT,44,"22 May, 2025"
41520,ASTORE,GB,ASTORE,27,"21 May, 2025"
41535,Abbotabad,KPK,Abbotabad,35,"21 May, 2025"
43542,Anantnag,Kashmir,Anantnag,30,"21 May, 2025"
41567,Attock,Punjab,Attock,44,"21 May, 2025"
