Station ID,Station Name,Province,Reported Station,Max Temp (°C),Date
41593,SARGODHA,Punjab,SARGODHA,40,2025-04-23
43535,Leh,Kashmir,Leh,4,2025-04-23
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,32,2025-04-23
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,31,2025-04-23
41535,Abbotabad,KPK,Abbotabad,28,2025-04-23
41756,JIWANI,Balochistan,JIWANI,38,2025-04-23
41634,CHAKWAL,Punjab,CHAKWAL,36,2025-04-23
41696,KALAT,Balochistan,KALAT,23,2025-04-23
41786,MITHI,Sindh,MITHI,43,2025-04-23
41640,LAHORE,Punjab,LAHORE,38,2025-04-23
41520,ASTORE,GB,ASTORE,17,2025-04-23
43543,Shopian,Kashmir,Shopian,22,2025-04-23
41710,NOKKUNDI,Balochistan,NOKKUNDI,33,2025-04-22
43536,Srinagar,Kashmir,Srinagar,19,2025-04-22
41749,NAWABSHAH,Sindh,NAWABSHAH,42,2025-04-22
41724,SUKKUR,Sindh,SUKKUR,40,2025-04-22
43542,Anantnag,Kashmir,Anantnag,20,2025-04-22
41764,HYDERABAD,Sindh,HYDERABAD,39,2025-04-22
41756,JIWANI,Balochistan,JIWANI,36,2025-04-22
43534,Jammu,Kashmir,Jammu,35,2025-04-22
41573,MURREE,Punjab,MURREE,23,2025-04-22
43544,Baramulla,Kashmir,Baramulla,22,2025-04-22
41506,CHITRAL,KPK,CHITRAL,22,2025-04-22
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,40,2025-04-22
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,33,2025-04-22
43535,Leh,Kashmir,Leh,3,2025-04-22
41562,BANNU,KPK,BANNU,35,2025-04-22
41675,MULTAN,Punjab,MULTAN,39,2025-04-22
41696,KALAT,Balochistan,KALAT,21,2025-04-22
41738,TURBAT,Balochistan,TURBAT,40,2025-04-22
41786,MITHI,Sindh,MITHI,42,2025-04-22
41634,CHAKWAL,Punjab,CHAKWAL,36,2025-04-22
41652,D G KHAN,Punjab,D G KHAN,39,2025-04-22
41598,JHELUM,Punjab,JHELUM,39,2025-04-22
41525,MALAM JABBA,KPK,MALAM JABBA,18,2025-04-22
41577,ISLAMABAD,Islamabad,ISLAMABAD,35,2025-04-22
41783,THATTA,Sindh,THATTA,40,2025-04-22
41567,Attock,Punjab,Attock,35,2025-04-22
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,35,2025-04-22
41660,QUETTA,Balochistan,QUETTA,25,2025-04-22
41505,HUNZA,GB,HUNZA,14,2025-04-22
41517,SKARDU,GB,SKARDU,18,2025-04-22
41780,KARACHI,Sindh,KARACHI,41,2025-04-22
41743,DADU,Sindh,DADU,41,2025-04-22
41516,GILGIT,GB,GILGIT,22,2025-04-22
41571,RAWALPINDI,Punjab,RAWALPINDI,34,2025-04-22
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,30,2025-04-22
41700,BAHAWALPUR,Punjab,BAHAWALPUR,39,2025-04-22
41520,ASTORE,GB,ASTORE,16,2025-04-22
41757,GWADAR,Balochistan,GWADAR,38,2025-04-22
41640,LAHORE,Punjab,LAHORE,38,2025-04-22
41535,Abbotabad,KPK,Abbotabad,27,2025-04-22
41508,DIR,KPK,DIR,26,2025-04-22
41630,FAISALABAD,Punjab,FAISALABAD,39,2025-04-22
41680,SAHIWAL,Punjab,SAHIWAL,40,2025-04-22
43543,Shopian,Kashmir,Shopian,21,2025-04-22
41697,SIBBI,Balochistan,SIBBI,39,2025-04-22
41593,SARGODHA,Punjab,SARGODHA,39,2025-04-22
41624,D-I-KHAN,KPK,D-I-KHAN,39,2025-04-22
43541,Pulwama,Kashmir,Pulwama,20,2025-04-22
41574,RAWALAKOT,Kashmir,RAWALAKOT,25,2025-04-22
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,32,2025-04-22
41786,MITHI,Sindh,MITHI,42,2025-04-21
